pid,lat,lon,euclidean_distance
p606307,35.86462558,-113.1864634,5.147189135503252
p1040771,35.86472814,-106.5478608,8.872029809987165
p1377371,35.86507149,-88.03083725,8.801448030251594
p999711,35.86513392,-82.47209512,5.44308545122958
p1378447,35.86519634,-87.44908063,5.721885226445924
p608746,35.86524985,-113.2322629,5.008521082040346
p1385713,35.86573589,-89.74415764,4.956486115971167
p170164,35.86574927,-118.5838664,15.386030263454334
p1379410,35.86619518,-84.8845981,5.545960506286113
p583339,35.86648948,-109.3481183,4.240952435734797
p574142,35.86672581,-112.2200291,7.835936020974619
p1027371,35.86694431,-106.5523511,8.391739772227638
p999324,35.86698444,-77.10381457,3.6885401254390877
p995356,35.8675017,-82.89716784,4.133355619407943
p579516,35.86776033,-109.9452276,4.092883505866064
p997881,35.86853175,-81.23679035,4.200026818854623
p575688,35.86854067,-109.0700398,2.7920225969504595
p578900,35.86879038,-112.1618735,7.256444550236587
p586702,35.86885281,-112.2291123,7.564964117860497
p573226,35.86935668,-113.890172,9.620667458507107
p952825,35.86949046,-82.85144422,4.1669021138941105
p657101,35.86955288,-92.0783053,4.995140094005351
p586280,35.86963315,-111.8203955,3.9484437377595643
p580953,35.8700746,-109.8936626,4.320476829741241
p1383884,35.87076576,-88.4573681,12.818791911855762
p1026568,35.87080589,-105.7848239,13.619166795377682
p653312,35.87096196,-92.87289927,6.349182925225776
p646436,35.87132761,-92.61527471,7.427772835161639
p1027370,35.8717423,-106.5989666,7.002123622235287
p586704,35.87184486,-112.1062061,7.521857453260916
p1025076,35.8720366,-105.5666178,5.934711253340069
p574751,35.87258953,-112.1112136,7.857821004826845
p1028188,35.87266088,-106.3796724,4.306060073107483
p652692,35.8727456,-93.20918238,7.734583256214804
p579136,35.87284816,-111.9529958,3.1424546763885806
p998389,35.87289721,-75.8127978,7.476177192465102
p656745,35.87297747,-92.39435301,6.8971532600942735
p605677,35.87337433,-110.2233863,8.572424317417763
p586281,35.87345014,-111.7894182,5.329654470078212
p1025074,35.87363296,-105.6638396,5.878852914337534
p575242,35.87401644,-111.8326625,4.58664636116898
p607427,35.87474328,-111.7752115,5.174639976683348
p586703,35.87488597,-112.166065,7.413970357288873
p1009785,35.87501528,-105.726044,4.351481528175025
p1005938,35.87518027,-105.8873832,8.665360918649359
p582235,35.87557713,-111.9888381,3.7593998300630345
p1544926,30.16382987,-94.14094276,2.767387246661162
p608950,35.87604088,-112.0510069,12.641461786834089
p1377248,35.87621032,-87.34187046,5.277424320299782
p996902,35.87628167,-76.98573312,5.559121350159782
p648943,35.87640206,-92.77478567,6.946437039387104
p578579,35.87650908,-111.7158118,3.8754310632613533
p582236,35.87679892,-111.9489737,2.954566797795227
p606207,35.87683906,-111.9960261,3.8189618380233865
p1033554,35.87714227,-105.669351,5.99946947112491
p997467,35.87786911,-75.86141092,5.381029392986406
p1035874,35.87826597,-105.2717642,12.126929713801443
p1007643,35.87865391,-105.5100496,5.774215831779937
p608005,35.87868066,-110.2744653,10.260325363823863
p647061,35.87897496,-93.53848253,8.855855443710654
p1046372,35.87931386,-105.5510689,6.208787450541393
p1025078,35.88067834,-105.4414909,4.019287287929897
p1385808,35.88079428,-83.50945593,4.583754978070342
p1383007,35.88095481,-82.90720974,2.1778900241793337
p953177,35.88116884,-82.27871728,3.9182141887646313
p656930,35.88124465,-93.633613,8.805844557016858
p1383084,35.88135167,-83.71636713,6.270773593407799
p997236,35.88232375,-82.16445282,2.745235215979766
p1362829,35.88235496,-83.39486149,3.376771520002776
p1025075,35.88249765,-105.6052648,6.976559298575567
p1025447,35.88297478,-105.2786446,11.301723889965313
p948210,35.88302383,-77.18841264,4.804672029887852
p582237,35.88454438,-111.879269,9.182147271524535
p1388217,35.88482531,-83.34936528,5.2676988676924665
p950878,35.88499475,-77.06089573,7.651729108401253
p998559,35.88540053,-75.96005069,9.585708827026853
p1384597,35.88632356,-83.06663152,4.767807761151423
p1388287,35.88633248,-82.96388937,5.208784195384952
p1360884,35.88657773,-85.91880633,12.405173314573501
p649190,35.8873447,-90.07954001,5.131777465039254
