grid_id,TEM_mean,TEM_std,pct_TEM_mean,TEM_cv
935,0.002,0.044721359549995794,0.002,22.360679774997898
956,2.498,0.6113456362598394,2.498,0.2447340417373256
957,1.9206666666666667,0.6157362675620719,1.9206666666666667,0.3205846585710197
958,1.3595,0.3760552953627175,1.3595,0.2766129425249853
959,4.5635,0.45138702961095595,4.5635,0.09891246403220245
960,5.62,1.782182530316396,5.62,0.31711432923779287
961,0,0,0,0
962,0.099,0.26427008410849195,0.099,2.669394788974666
983,3.901,0.8468372137152843,3.901,0.21708208503339768
984,5.5544,0.2739173258536333,5.5544,0.04931537625191439
985,1.995142857142857,0.600206568124899,1.995142857142857,0.3008338806296931
986,0.6614285714285714,0.14702619764294317,0.6614285714285714,0.2222858279698925
987,4.1756,0.338990367028144,4.1756,0.08118363038321295
988,4.18,2.4469522165952897,4.18,0.5853952671280598
